State,Obama,McCain,Start,End,Pollster
VA,54,44,Oct 19,Oct 21,Opinion Research
VA,45,44,Sep 28,Oct 19,Winthrop U.
VA,51,45,Oct 18,Oct 19,SurveyUSA
VA,54,44,Oct 16,Oct 16,Rasmussen
VA,49,43,Oct 11,Oct 14,Christopher Newport U.
VA,53,43,Oct 11,Oct 14,Opinion Research
VA,50,47,Oct 12,Oct 12,Rasmussen
VA,50,48,Oct 05,Oct 05,Rasmussen
VA,51,39,Oct 03,Oct 05,Suffolk U.
VA,53,43,Oct 04,Oct 05,SurveyUSA
VA,45,48,Sep 29,Oct 01,Mason-Dixon
VA,53,44,Sep 28,Sep 30,Opinion Research
VA,46,49,Sep 27,Sep 29,ARG
VA,51,45,Sep 29,Sep 29,Insider Advantage
VA,50,47,Sep 28,Sep 28,Rasmussen
VA,50,45,Sep 25,Sep 25,Rasmussen
VA,44,47,Sep 17,Sep 22,Mason-Dixon
VA,48,50,Sep 21,Sep 21,Rasmussen
VA,49,46,Sep 18,Sep 21,ABC News
VA,49,46,Sep 18,Sep 21,Washington Post
VA,51,45,Sep 19,Sep 21,SurveyUSA
VA,46,48,Sep 17,Sep 20,ARG
VA,46,48,Sep 17,Sep 17,Insider Advantage
VA,41,48,Sep 11,Sep 15,Financial Dynamics
VA,39,48,Sep 10,Sep 14,Christopher Newport U.
VA,48,48,Sep 14,Sep 14,Rasmussen
VA,50,46,Sep 12,Sep 14,SurveyUSA
VA,46,50,Sep 07,Sep 09,Opinion Research
VA,47,49,Sep 05,Sep 07,SurveyUSA
VA,47,49,Sep 07,Sep 07,Rasmussen
VA,43,43,Aug 12,Aug 12,Insider Advantage
VA,46,45,Aug 12,Aug 12,Rasmussen
VA,47,48,Aug 08,Aug 10,SurveyUSA
VA,44,44,Jul 16,Jul 16,Rasmussen
VA,49,47,Jun 20,Jun 22,SurveyUSA
VA,45,44,Jun 12,Jun 12,Rasmussen
VA,36,44,May 12,May 18,Virg. Commonwealth U.
VA,49,42,May 16,May 18,SurveyUSA
VA,44,47,May 08,May 08,Rasmussen
VA,44,52,Apr 11,Apr 13,SurveyUSA
VA,41,52,Mar 27,Mar 27,Rasmussen
VA,48,47,Mar 14,Mar 16,SurveyUSA
VA,47,47,Feb 26,Feb 28,SurveyUSA
VA,44,49,Feb 19,Feb 19,Rasmussen
VA,51,45,Feb 15,Feb 17,SurveyUSA
VA,40,52,Jan 16,Jan 17,SurveyUSA
WA,51,39,Oct 27,Oct 31,U. of Washington
WA,56,39,Oct 26,Oct 27,SurveyUSA
WA,55,34,Oct 18,Oct 26,U. of Washington
WA,54,43,Oct 22,Oct 22,Rasmussen
WA,55,36,Oct 16,Oct 19,Elway Poll
WA,56,40,Oct 12,Oct 13,SurveyUSA
WA,53,43,Oct 02,Oct 02,Rasmussen
WA,54,43,Sep 21,Sep 22,SurveyUSA
WA,50,44,Sep 16,Sep 18,ARG
WA,49,47,Sep 10,Sep 10,Rasmussen
WA,45,39,Sep 06,Sep 08,Elway Poll
WA,49,45,Sep 05,Sep 07,SurveyUSA
WA,51,44,Aug 11,Aug 12,SurveyUSA
WA,52,40,Aug 06,Aug 06,Rasmussen
WA,47,35,Jul 22,Jul 31,Elway Poll
WA,55,39,Jul 13,Jul 15,SurveyUSA
WA,51,43,Jul 09,Jul 09,Rasmussen
WA,55,40,Jun 17,Jun 19,SurveyUSA
WA,53,35,Jun 09,Jun 09,Rasmussen
WA,56,39,Jun 07,Jun 09,SurveyUSA
WA,44,38,May 21,May 25,Elway Poll
WA,52,36,May 16,May 18,SurveyUSA
WA,51,40,May 12,May 12,Rasmussen
WA,54,42,May 12,May 12,SurveyUSA
WA,53,40,Apr 14,Apr 16,SurveyUSA
WA,51,44,Apr 07,Apr 07,SurveyUSA
WA,48,43,Mar 27,Mar 27,Rasmussen
WA,45,39,Mar 18,Mar 20,Elway Poll
WA,52,41,Mar 14,Mar 16,SurveyUSA
WA,44,45,Feb 28,Feb 28,Rasmussen
WA,52,38,Feb 26,Feb 28,SurveyUSA
WA,55,38,Feb 03,Feb 04,SurveyUSA
WA,52,43,Jan 11,Jan 13,SurveyUSA
WV,40,50,Oct 23,Oct 26,Zogby
WV,44,49,Oct 20,Oct 21,West Virginia Wesleyan U.
WV,44,53,Oct 19,Oct 21,Opinion Research
WV,43,52,Oct 20,Oct 20,Rasmussen
WV,41,47,Oct 16,Oct 17,Mason-Dixon
WV,47,49,Oct 13,Oct 13,Insider Advantage
WV,50,42,Oct 04,Oct 08,ARG
WV,42,50,Sep 24,Sep 24,Rasmussen
WV,46,50,Sep 21,Sep 23,Opinion Research
WV,45,49,Sep 14,Sep 16,ARG
WV,39,44,Sep 05,Sep 08,Mark Blankenship
WV,37,45,Jun 02,Jun 02,Rasmussen
WV,35,53,Feb 26,Feb 28,SurveyUSA
WI,55,39,Oct 28,Oct 29,SurveyUSA
WI,52,42,Oct 21,Oct 28,U. of Wisconsin
WI,54,38,Oct 21,Oct 28,U. of Wisconsin
WI,51,44,Oct 23,Oct 23,Rasmussen
WI,53,40,Oct 19,Oct 22,U. of Wisconsin
WI,53,40,Oct 16,Oct 20,Financial Dynamics
WI,51,43,Oct 18,Oct 19,SurveyUSA
WI,51,38,Oct 09,Oct 17,St. Norbert Coll.
WI,51,39,Oct 16,Oct 17,Mason-Dixon
WI,51,36,Oct 08,Oct 15,U. of Wisconsin
WI,54,37,Oct 08,Oct 12,Quinnipiac U.
WI,51,46,Oct 03,Oct 06,Opinion Research
WI,52,42,Oct 05,Oct 06,SurveyUSA
WI,54,44,Oct 06,Oct 06,Rasmussen
WI,49,42,Sep 14,Sep 21,Quinnipiac U.
WI,50,45,Sep 18,Sep 21,ARG
WI,45,44,Sep 14,Sep 17,U. of Wisconsin
WI,49,45,Sep 14,Sep 16,Opinion Research
WI,50,47,Sep 14,Sep 16,Opinion Research
WI,48,46,Sep 15,Sep 15,Rasmussen
WI,47,43,Aug 05,Aug 05,Rasmussen
WI,44,38,Aug 03,Aug 04,Wisconsin Policy Res. Inst.
WI,50,39,Jul 14,Jul 22,Quinnipiac U.
WI,50,39,Jul 08,Jul 08,Rasmussen
WI,52,39,Jun 17,Jun 24,Quinnipiac U.
WI,52,43,Jun 13,Jun 16,SurveyUSA
WI,50,37,Jun 08,Jun 10,U. of Wisconsin
WI,45,43,Jun 05,Jun 05,Rasmussen
WI,48,42,May 16,May 18,SurveyUSA
WI,43,47,May 05,May 05,Rasmussen
WI,47,43,Apr 15,Apr 24,U. of Wisconsin
WI,49,44,Apr 11,Apr 13,SurveyUSA
WI,46,42,Mar 25,Apr 05,St. Norbert Coll.
WI,46,48,Mar 26,Mar 26,Rasmussen
WI,48,44,Mar 14,Mar 16,SurveyUSA
WI,51,40,Feb 26,Feb 28,SurveyUSA
WI,44,43,Feb 21,Feb 21,Rasmussen
WI,52,42,Feb 15,Feb 17,SurveyUSA
WY,37,58,Oct 18,Oct 19,SurveyUSA
WY,32,58,Oct 13,Oct 14,Mason-Dixon
WY,28,66,Sep 09,Sep 11,ARG
WY,39,58,Sep 10,Sep 10,Rasmussen
WY,25,62,Aug 13,Aug 15,Mason-Dixon
WY,35,54,Feb 26,Feb 28,SurveyUSA
